Name,Level,Access to,County,Activity Regions,Counselor Email,Dashboard Link,roger Email,Permission Email,Notes
North Lake School District,Middle School,M7-Educator,Waukesha,Waukesha,,Waukesha,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878215?share=Jyu3iZ4FFm
Northeastern Wisconsin Lutheran High School (NEW Lutheran High School),High School,Full Service,BROWN,"Brown, Calumet, Dodge, Fond duLac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",,https://www.formstack.com/admin/submission/report/36999930?share=kiqRdKtJJ0,rward@cesa6.org,,
Oak Creek Franklin School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,Milwaukee,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878216?share=XbtnYIzkzN
Oakfield High School ,High School,Full Service,Fond duLac,"Columbia, Dodge, Fond duLac, Green Lake, Washington, Winnebago",jschindel@oakfield.k12.wi.us,https://www.formstack.com/admin/submission/report/37000036?share=6Mc1TQo0a1,"rdroesslermersch@cesa6.org, rward@cesa6.org",,
Oconomowoc Area School District,"High School, Middle School",M7-Educator,Waukesha,Waukesha,,Waukesha,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878217?share=QY6xu7VD6l
Omro High School,High School,Full Service,WINNEBAGO,"Brown, Calumet, Dodge, Fond duLac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",rwill@omro.k12.wi.us ,https://www.formstack.com/admin/submission/report/30333574?share=dRaYUvMy2r,"rward@cesa6.org, rdroesslermersch@cesa6.org",,
Omro Middle School,Middle School,Virtual,WINNEBAGO,,csabel@omro.k12.wi.us ,https://www.formstack.com/admin/submission/report/30333574?share=dRaYUvMy2r,"rward@cesa6.org, rdroesslermersch@cesa6.org",,
Oostburg High School,High School,Full Service,SHEBOYGAN,"Sheboygan, Ozaukee",maggie.stielow@oostburg.k12.wi.us,https://www.formstack.com/admin/submission/report/30333586?share=GYxcek4ef9,mmotiska@rogersheboygancounty.org,,
Oostburg Middle School,Middle School,Full Service,SHEBOYGAN,"Sheboygan, Ozaukee",,https://www.formstack.com/admin/submission/report/30333586?share=GYxcek4ef9,mmotiska@rogersheboygancounty.org,,
Other,"High School, Middle School, College/Post-Secondary",Virtual,,,,,mmotiska@rogersheboygancounty.org,,
Pewaukee School District,"High School, Middle School",M7-Educator,Waukesha,Waukesha,,Waukesha,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878218?share=8FzbXHU3FW
Plymouth High School,High School,Full Service,SHEBOYGAN,"Sheboygan, Calumet, Ozaukee",,https://www.formstack.com/admin/submission/report/30333588?share=8PmOkWWKEr,mmotiska@rogersheboygancounty.org,,
Port Washington High School,High School,Full Service,OZAUKEE,"Sheboygan, Ozaukee, Washington, Washington M7, Ozaukee M7","diana.pasten@pwssd.k12.wi.us,jacob.mason@pwssd.k12.wi.us, jeffery.cole@pwssd.k12.wi.us ",https://www.formstack.com/admin/submission/report/30333589?share=Ao2xY9pNR3 Ozaukee,"mmotiska@rogersheboygancounty.org, rogerM7@cesa1.k12.wi.us",,
Racine School District,"High School, Middle School",M7-Educator,Racine,Racine,,Racine,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878219?share=Qbj4NdkA1q
Random Lake High School,High School,Full Service,SHEBOYGAN,"Sheboygan, Ozaukee, Washington",jfrias@rladvantage.org,https://www.formstack.com/admin/submission/report/30333612?share=T2I9rNezqX,mmotiska@rogersheboygancounty.org,,
Random Lake Middle School,Middle School,Full Service,SHEBOYGAN,"Sheboygan, Ozaukee, Washington",progers@rladvantage.org,https://www.formstack.com/admin/submission/report/30333612?share=T2I9rNezqX,mmotiska@rogersheboygancounty.org,,
Rhinelander High School,High School,Full Service,ONEIDA,"Langlade, Lincoln, Marathon, Oneida",allenale@rhinelander.k12.wi.us,https://www.formstack.com/admin/submission/report/30333244?share=sXVIS7YHun,"bholbrook@cesa9.org, vbrooks@cesa9.org",,
Richmond School District,Middle School,M7-Educator,Waukesha,Waukesha,,Waukesha,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878220?share=PWvazhOouH
Ripon High School,High School,Full Service,Fond duLac,"Brown, Calumet, Columbia, Dodge, Fond duLac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago","vogelsangl@ripon.k12.wi.us, LeveranceS@ripon.k12.wi.us, kandlerd@ripon.k12.wi.us",https://www.formstack.com/admin/submission/report/37000081?share=NxvJ7Z8wLN,"rdroesslermersch@cesa6.org, rward@cesa6.org",,
River View Middle School - Kaukauna,Middle School,Virtual,OUTAGAMIE,,,https://www.formstack.com/admin/submission/report/30333278?share=4WCd3VHbVH,"cpavelski@cesa6.org, rward@cesa6.org",,
Riverview Middle School - Plymouth,Middle School,Full Service,SHEBOYGAN,"Sheboygan, Calumet",,https://www.formstack.com/admin/submission/report/30333588?share=8PmOkWWKEr,mmotiska@rogersheboygancounty.org,,
Rocket Academy,High School,Full Service,Sheboygan,"Sheboygan, Ozaukee, Washington",dfriend@cgbrockets.com ,https://www.formstack.com/admin/submission/report/45267309?share=J70ZMft74D,mmotiska@rogersheboygancounty.org,,
Roncalli High School,High School,Full Service,MANITOWOC,"Brown, Calumet, Dodge, Fond duLac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",,https://www.formstack.com/admin/submission/report/30333636?share=l0sa3N9zwg,mstolp@cesa6.org,,
Rosendale-Brandon (Laconia High School),High School,Full Service,Fond duLac,"Columbia, Dodge, Fond duLac, Green Lake, Washington, Winnebago",barbdaw@rbsd.k12.wi.us,https://www.formstack.com/admin/submission/report/37000093?share=7rZDgHTZ7l,"rdroesslermersch@cesa6.org, rward@cesa6.org",,
Saint Francis School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,Milwaukee,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878221?share=lXu6fxp6ij
"Seeds of Health, Inc","High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,Milwaukee,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878233?share=y6Iwtn7XtO
Seymour High School,High School,Full Service,OUTAGAMIE,"Brown, Calumet, Outagamie,  Winnebago",,https://www.formstack.com/admin/submission/report/36334086?share=kuYKOrjbTL,"cpavelski@cesa6.org, rward@cesa6.org",,
Seymour Middle School,Middle School,Virtual,OUTAGAMIE,,,https://www.formstack.com/admin/submission/report/36334086?share=kuYKOrjbTL,"cpavelski@cesa6.org, rward@cesa6.org",,
Sheboygan Area Lutheran High School,High School,Full Service,SHEBOYGAN,Sheboygan,,https://www.formstack.com/admin/submission/report/44020038?share=oGUW6Bmvjw,mmotiska@rogersheboygancounty.org,,
Sheboygan Christian,High School,Full Service,SHEBOYGAN,Sheboygan,jenna.ege@sheboyganchristian.com,https://www.formstack.com/admin/submission/report/30333637?share=KPVr3lBF37,mmotiska@rogersheboygancounty.org,,
Sheboygan Falls High School,High School,Full Service,SHEBOYGAN,Sheboygan,,https://www.formstack.com/admin/submission/report/30333660?share=XjVJl0OExM,mmotiska@rogersheboygancounty.org,,
Sheboygan Falls Middle School,Middle School,Full Service,SHEBOYGAN,Sheboygan,,https://www.formstack.com/admin/submission/report/30333660?share=XjVJl0OExM,mmotiska@rogersheboygancounty.org,,
Sheboygan Leadership Academy,Middle School,Full Service,SHEBOYGAN,Sheboygan,,,mmotiska@rogersheboygancounty.org,,
Sheboygan North High School,High School,Full Service,SHEBOYGAN,Sheboygan,sbraeger@sasd.net,https://www.formstack.com/admin/submission/report/30333661?share=hkAgMhjk8v,mmotiska@rogersheboygancounty.org,,
Sheboygan South High School,High School,Full Service,SHEBOYGAN,Sheboygan,,https://www.formstack.com/admin/submission/report/30333662?share=V0nCo8nw7F,mmotiska@rogersheboygancounty.org,,
Shorewood School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,Milwaukee,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878234?share=LJ5MXx0glX
Slinger School District,"High School, Middle School",M7-Educator,Washington M7,Washington M7,,Washington M7,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878235?share=TkThBJOYZV
South Milwaukee School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,Milwaukee,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878247?share=guIVqPyvGY
St. John the Baptist - Plymouth,Middle School,Full Service,SHEBOYGAN,Sheboygan,mcalkins@sjbplymouth.org,https://www.formstack.com/admin/submission/report/39829738?share=h6205AOpO1,mmotiska@rogersheboygancounty.org,,
St. Lawrence Seminary High School,High School,Full Service,Fond duLac ,"Brown, Calumet, Columbia, Dodge, Fond duLac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",svanissaveth@stlawrence.edu,https://www.formstack.com/admin/submission/report/38442452?share=q0t2XHoEt3,"rward@cesa6.org, rdroesslermersch@cesa6.org",,
Stockbridge High School,High School,Full Service,CALUMET,"Brown, Calumet, Outagamie, Winnebago",,https://www.formstack.com/admin/submission/report/30333721?share=VvE9bO3qE6,"cpavelski@cesa6.org, rward@cesa6.org",,
Stockbridge Middle School,Middle School,Virtual,CALUMET,,,https://www.formstack.com/admin/submission/report/30333721?share=VvE9bO3qE6,"cpavelski@cesa6.org, rward@cesa6.org",,
Stone Bank School District,Middle School,M7-Educator,Waukesha,Waukesha,,Waukesha,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878248?share=wjz6Vl8sfH
Suring High School,High School,Virtual,,,brigkr@suringk12.org,https://www.formstack.com/admin/submission/report/36334311?share=4quhm1tHWI,"bholbrook@cesa9.org, vbrooks@cesa9.org",,
Swallow School District,Middle School,M7-Educator,Waukesha,Waukesha,,Waukesha,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878260?share=xfp2hSUWi1
Test High School,High School,Full Service,CALUMET,"Calumet, Dodge, Fond duLac, Green Lake, Langlade, Lincoln, Marathon, Manitowoc, Oneida, Outagamie, Ozaukee, Portage, Shawano, Sheboygan, Taylor, Vilas, Washington, Waupaca, Waushara, Winnebago",cboutelle@rogersheboygancounty.org,Sheboygan,cboutelle@rogersheboygancounty.org,candiceboutelle@gmail.com,
Test Middle School,Middle School,Full Service,CALUMET,"Calumet, Dodge, Fond duLac, Green Lake, Langlade, Lincoln, Marathon, Manitowoc, Oneida, Outagamie, Ozaukee, Portage, Shawano, Sheboygan, Taylor, Vilas, Washington, Waupaca, Waushara, Winnebago",,,,,
TJ Middle School - Port Washington,Middle School,Full Service,OZAUKEE,"Sheboygan, Ozaukee",,https://www.formstack.com/admin/submission/report/30333589?share=Ao2xY9pNR3,mmotiska@rogersheboygancounty.org,,
Tri-County School District,"High School, Middle School",Full Service,Waushara,"Green Lake, Outagamie, Portage, Waupaca, Waushara","theresaglodoski@tcpenguin.net, emilykrystowiak@tcpenguin.net",https://www.formstack.com/admin/submission/report/44785394?share=Nycfd5QRGP,roger@waupacaareachamber.com ,,
Two Rivers High School,High School,Full Service,MANITOWOC,"Brown, Calumet, Dodge, Fond duLac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",lisa.klein@trschools.k12.wi.us,https://www.formstack.com/admin/submission/report/30333338?share=Tu71tjF1e1,mstolp@cesa6.org,,
Union Grove UHS School District,"High School, Middle School",M7-Educator,Racine,Racine,,Racine,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878261?share=udVUtZ93LC
University of Wisconsin - Green Bay,College/Post-Secondary,Full Service,BROWN,"Brown, Calumet, Manitowoc, Marinette, Outagamie, Shawano, Sheboygan, Winnebago",,https://www.formstack.com/admin/submission/report/43498655?share=J5cPxwJ12S,mmotiska@rogersheboygancounty.org,,
Urban Middle School - Sheboygan,Middle School,Full Service,SHEBOYGAN,Sheboygan,,https://www.formstack.com/admin/submission/report/30333013?share=8h7e6cMOa0,mmotiska@rogersheboygancounty.org,,
UWGB - Manitowoc,College/Post-Secondary,Full Service,MANITOWOC,"Brown, Outagamie, Sheboygan, Manitowoc, Ozaukee, Calumet, Fond duLac, Ozaukee",,https://www.formstack.com/admin/submission/report/43498619?share=XUkNSjWbDW,mmotiska@rogersheboygancounty.org,,
UWGB - Marinette,College/Post-Secondary,Full Service,MARINETTE,"Brown, Calumet, Manitowoc, Marinette, Outagamie, Shawano",,https://www.formstack.com/admin/submission/report/43498632?share=BjF8i1B2oR,mmotiska@rogersheboygancounty.org,,
UWGB - Sheboygan,College/Post-Secondary,Full Service,SHEBOYGAN,"Sheboygan, Manitowoc, Ozaukee, Calumet",,https://www.formstack.com/admin/submission/report/30333744?share=2amDRjPTFl,mmotiska@rogersheboygancounty.org,,
Valders High School,High School,Full Service,MANITOWOC,"Brown, Calumet, Dodge, Fond duLac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",jmcculley@valders.k12.wi.us,https://www.formstack.com/admin/submission/report/30333746?share=SZIzql6zzu,mstolp@cesa6.org,,
Valders Middle School,Middle School,Virtual,MANITOWOC,,,https://www.formstack.com/admin/submission/report/30333746?share=SZIzql6zzu,mstolp@cesa6.org,,
Washington Middle School - Manitowoc,Middle School,Virtual,MANITOWOC,,,https://www.formstack.com/admin/submission/report/30333362?share=SEjunzjZF2,mstolp@cesa6.org,,
Waterford UHS School District,"High School, Middle School",M7-Educator,Racine,Racine,,Racine,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878339?share=FY1gFcfXfJ
Waukesha School District,"High School, Middle School",M7-Educator,Waukesha,Waukesha,,Waukesha,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878351?share=pchHhXbemS
Waupaca High School,High School,Full Service,WAUPACA,"Waupaca, Outagamie, Waushara, Winnebago, Portage",jkosobucki@waupacaschools.org,https://www.formstack.com/admin/submission/report/37080003?share=gbo4zr4ezq,roger@waupacaareachamber.com ,,
Waupaca Middle School,Middle School,Full Service,WAUPACA,"Waupaca, Outagamie, Waushara, Winnebago, Portage","dbiba@waupacaschools.org,jkosobucki@waupacaschools.org,sthomaschefsky@waupacaschools.org",https://www.formstack.com/admin/submission/report/37080003?share=gbo4zr4ezq,roger@waupacaareachamber.com ,,
Waupun High School ,High School,Full Service,DODGE,"Columbia, Dodge, Fond duLac, Green Lake, Washington, Winnebago","jmueller@waupun.k12.wi.us, holsen@waupun.k12.wi.us, ddisch@waupun.k12.wi.us",https://www.formstack.com/admin/submission/report/37000106?share=mMZ0FaDx64,"rdroesslermersch@cesa6.org, rward@cesa6.org",,
Wautoma High School,High School,Full Service,WAUSHARA,"Waushara, Waupaca, Green Lake, Portage","marshallzoellnerb@wautoma.k12.wi.us, kruegerb@wautoma.k12.wi.us",https://www.formstack.com/admin/submission/report/43014365?share=5MunrDG6Hm,roger@waupacaareachamber.com ,,
Wautoma Middle School,Middle School,Full Service,WAUSHARA,"Waushara, Waupaca, Green Lake, Portage",steltert@wautoma.k12.wi.us,https://www.formstack.com/admin/submission/report/43014365?share=5MunrDG6Hm,roger@waupacaareachamber.com ,,
Wauwatosa School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,Milwaukee,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878351?share=pchHhXbemS
West Allis School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,Milwaukee,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878353?share=u7LWWtJr7q
West Bend School District,"High School, Middle School",M7-Educator,Washington M7,Washington M7,,Washington M7,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878376?share=89qUezO4aY
Weyauwega-Fremont High School,High School,Full Service,WAUPACA,"Waupaca, Outagamie, Waushara, Winnebago, Portage","jalix@wfsd.k12.wi.us,cpeterson@wfsd.k12.wi.us,jgardner@wfsd.k12.wi.us",https://www.formstack.com/admin/submission/report/38322065?share=F9TKyk35pZ,roger@waupacaareachamber.com ,,
Weyauwega-Fremont Middle School,Middle School,Full Service,WAUPACA,"Waupaca, Outagamie, Waushara, Winnebago, Portage","jalix@wfsd.k12.wi.us,cpeterson@wfsd.k12.wi.us,jgardner@wfsd.k12.wi.us",https://www.formstack.com/admin/submission/report/38322065?share=F9TKyk35pZ,roger@waupacaareachamber.com ,,
White Lake High School,High School,Virtual,,,,,"bholbrook@cesa9.org, vbrooks@cesa9.org",,
Whitefish Bay School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,Milwaukee,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878388?share=MXz5DxYDTO
Whitewater Unified district,"High School, Middle School",M7-Educator,Walworth,Walworth,,Walworth,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878389?share=9xLO5U4CvM
Whitnall School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,Milwaukee,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878401?share=SLPmcj10fU
Wild Rose Middle/High School,"High School, Middle School",Full Service,WAUSHARA,"Green Lake, Outagamie, Portage, Waupaca, Waushara, Winnebago","ramichb@wildroseschools.org, clarkd@wildroseschools.org",https://www.formstack.com/admin/submission/report/42722037?share=MCTFGypYtI,roger@waupacaareachamber.com ,,
Williams Bay School District,"High School, Middle School",M7-Educator,Walworth,Walworth,,Walworth,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878414?share=JcQPgBvcaH
Wilmot UHS School District,"High School, Middle School",M7-Educator,Kenosha,Kenosha,,Kenosha,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878415?share=p3gurAwUZ1
Wilson Middle School - Manitowoc,Middle School,Virtual,MANITOWOC,,,https://www.formstack.com/admin/submission/report/30333362?share=SEjunzjZF2,mstolp@cesa6.org,,
Winnebago Lutheran Academy,High School,Full Service,Fond duLac,"Calumet, Dodge, Fond duLac, Green Lake, Sheboygan, Washington, Winnebago",jthiesfeldt@wlavikings.org; kpappenfuss@wlavikings.org,https://www.formstack.com/admin/submission/report/42896766?share=UgkQDfHq3Z,"rdroesslermersch@cesa6.org, rward@cesa6.org",,
Winneconne High School,High School,Full Service,WINNEBAGO,"Brown, Calumet, Dodge, Fond duLac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago","larsona@w-csd.org, meyers@w-csd.org, sonnleit@w-csd.org",https://www.formstack.com/admin/submission/report/30333784?share=qYcvWoiWn9,"rward@cesa6.org, rdroesslermersch@cesa6.org",,
Winneconne Middle School,Middle School,Virtual,WINNEBAGO,,larsona@w-csd.org,https://www.formstack.com/admin/submission/report/30333784?share=qYcvWoiWn9,"rward@cesa6.org, rdroesslermersch@cesa6.org",,
Wisconsin Lutheran High School - Learning Exchange,High School,M7-Educator,Milwaukee,"Milwaukee, Ozaukee, Washington, Waukesha",,https://www.formstack.com/admin/submission/report/47156937?share=GcH4cj6oNG,mmotiska@rogersheboygancounty.org,,
Wittenberg-Birnamwood High School,High School,Virtual,,,,,"bholbrook@cesa9.org, vbrooks@cesa9.org",,
